Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M557		48504	06/04/1932	1932	Proteus	Proteus sp.			557	03/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M558		48013		ND	Proteus	Proteus sp.			558	03/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M559		58851		ND	Salmonella	? S. sp. Salm-like GNR	Stool		559	03/11/1980			ND											No
M56		Bane	07/09/1918	1918	Shigella	Sh. flexneri Oxford			56	02/09/1980			4	58	31	1.8	1.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M560		"""A"" Mears"	01/05/1941	1941	Salmonella	S. paratyphi A 			560	10/11/1980		M560 M686 M687	ND										N/A	Yes
M561		NCTC 4494 (disc) orig.	16/03/1937	1937	Shigella	Sh. sonnei		Large variant	561 L	03/11/1980			ND											No
M562		NCTC 4494 (disc) orig.	16/03/1937	1937	Shigella	Sh. sonnei		Small variant	562 S	03/11/1980			2	60	2.9						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M563		NCTC 2273 (disc) 	16/03/1937	1937	Shigella	Sh. sonnei		Large variant	563 L	03/11/1980			4	43	41	3.6	2.3				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M564		NCTC 2273 (disc) 	16/03/1937	1937	Shigella	Sh. sonnei		Small variant	564 S	03/11/1980			4	43	41	3.6	2.3							No
M565		D 3021	17/12/1940	1940	Salmonella	S. sp. 			565	03/11/1980			0											No
M566		Bact. 49281	01/08/1932	1932	Proteus	Proteus sp. 	Urine from right kidney		566	03/11/1980	No swarming		0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M567		57769	04/09/1935	1935	Proteus	Proteus morganii			567	04/11/1980	No swarming		1	52							Morganella morganii	Morganella morganii	N/A	Yes
M568		49916		ND	Proteus	Proteus sp. 			568	04/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M569		X19 Mt. Sinai Hosp. 	30/12/-	ND	Proteus	Proteus vulgaris X 19 			569	04/11/1980		M549 M569	ND								Proteus vulgaris	Proteus vulgaris	N/A	Yes
M57		Oxford Y 	03/10/1919	1919	Shigella	Sh. flexneri Y			57	02/09/1980		M57 M169 M170 M174	1	130							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M570		E 2008 	08/05/1940	1940	Proteus	Proteus sp. 	"Blood culture, bacteraemia; Pt. Rean, same patient as at 1967"		570	04/11/1980	No swarming		0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M571		58695		ND	Proteus	Proteus morganii			571	05/11/1980	No swarming		1	43							Morganella morganii	Morganella morganii	N/A	Yes
M572		53370 - 2	02/11/1934	1934	Proteus	Proteus sp. 			572	05/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M573		NCTC 4778 (disc) orig. 	12/08/1938	1938	Salmonella	S. blegdam 			573	05/11/1980		M28 M278 M573	1	38							Salmonella enterica	Salmonella sp	N/A	Yes
M574		NCTC 4639 (disc) orig. 	12/08/1938	1938	Salmonella	S. aberdeen			574	05/11/1980		M74 M75 M574	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M575		NCTC 3071 (disc) orig. 	12/08/1938	1938	Salmonella	S. anatum			575	05/11/1980		M131 M575	3	38	5	1					Salmonella enterica	Salmonella sp	N/A	Yes
M576		NCTC 4439 (disc) orig. 	12/08/1938	1938	Salmonella	S. newport var peutro rico			576	05/11/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M577		NCTC 416 (disc) orig. 	12/08/1938	1938	Salmonella	S. gallinarum 			577	05/11/1980		M86 M577	0								Salmonella enterica	Salmonella sp	N/A	Yes
M578		NCTC 4723 (disc) orig. 	17/09/1938	1938	Salmonella	S. enteritidis var chaco			578	05/11/1980		M204 M205 M578	ND											No
M579		NCTC 3078 (disc) orig. 	12/08/1938	1938	Salmonella	S. thompson 			579	04/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M58		Gettings 86	25/10/1918	1918	Shigella	Sh. flexneri Y 			58	02/09/1980			1	130							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M580		E 4962	16/01/1941	1941	Salmonella	S. typhi	"Urine carrier, Swert"		580	10/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M581		CMH 4057	24/08/1935	1935	Salmonella	S. typhi	Jude	Opaque variant	581 O	10/11/1980	Both the same	M581 M582	1	11							N/A	Culture not found	N/A	No
M582		CMH 4057	24/08/1935	1935	Salmonella	S. typhi	Jude	Translucent variant	582 T	04/11/1980	Both the same	M581 M582	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M583	13693	Mucous capsulatus	09/01/1932	1932	Klebsiella	Kl. ozaenae	case from Ment. Gen. Hosp. 	Large variant	583 L	05/11/1980		M583 M584	ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M584	13694	Mucous capsulatus	09/01/1932	1932	Klebsiella	Kl. ozaenae	case from Ment. Gen. Hosp. 	Small variant	584 S	05/11/1980		M583 M584	2	300	31						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M585	13695	47941	08/04/1940	1940	Klebsiella	Kl. sp. 	Abdominal exudate	Large variant	585 L	05/11/1980		M585 M586	2	200	50						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M586		47941	08/04/1940	1940	Klebsiella	Kl. sp. 	Abdominal exudate	Small variant	586 S	05/11/1980		M585 M586	1	15							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M587	13696	Type A	04/07/1947	1947	Klebsiella	Kl. sp. Friedlanders		Large variant	587 L	05/11/1980		M587 M588	1	56							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M588	13697	Type A	04/07/1947	1947	Klebsiella	Kl. sp. Friedlanders		Small variant	588 S	05/11/1980		M587 M588	1	37							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M589		58867		ND	Proteus	Proteus morganii	Stool		589	03/11/1980	No swarming		0								Morganella morganii	Morganella morganii	N/A	Yes
M59		Gettings 170 	25/10/1918	1918	Shigella	Sh. flexneri Y 			59	02/09/1980			1	200							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M590		57641	04/09/1935	1935	Proteus	Proteus sp.	Mastoid	Spreader variant	590 Sp 	10/11/1980		M590 M591	ND								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M591		57641	04/09/1935	1935	Proteus	Proteus sp.	Mastoid	Non-spreader	591 NSp	10/11/1980		M590 M591	0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M592		B 5105	19/12/1937	1937	Salmonella	S. typhi	Blood culture	Large variant	592 L	10/11/1980	Both same size	M507 M508 M592 M593	1	52							Salmonella enterica	Salmonella sp	N/A	Yes
M593		B 5105	19/12/1937	1937	Salmonella	S. typhi	Blood culture	Small variant	593 S	10/11/1980	Both same size	M507 M508 M592 M593	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M594		E 5042	17/12/1940	1940	Salmonella	S. sp. 			594	10/11/1980			0											No
M595		Glasser Pfeiler	10/04/1934	1934	Salmonella	S. typhisuis var voldagsen 			595	06/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M596		MCH 22426	09/06/1941	1941	Salmonella	S. sp. 	A. Stears	Opaque variant	596 O 	06/11/1980		M596 M597	2	62	33									No
M597		MCH 22426	09/06/1941	1941	Salmonella	S. sp. 	A. Stears	Translucent variant	597 T 	06/11/1980		M596 M597	2	62	33									No
M598		E 5597	-/12/40	1940	Salmonella	S. sp. 	Hepatitis blood; same case as E 3884 stool	Opaque variant	598 O	06/11/1980	Both same size	M598 M599	0											No
M599		E 5597	-/12/40	1940	Salmonella	S. sp. 	Hepatitis blood; same case as E 3884 stool	Translucent variant	599 T 	06/11/1980	Both same size	M598 M599	0											No
M6		R.A.M. 	06/09/1917	1917	Salmonella	S. enteritidis 			6	01/09/1980			1	35							Salmonella enterica	Salmonella sp	N/A	Yes
M60		Gettings 47 	25/10/1918	1918	Shigella	Sh. sp. 			60	02/09/1980			3	78	1.7	1.4					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M600		C 8187 I B typical 	23/09/1937	1937	Shigella	Sh. sp. 			600	06/11/1980			1	1.6										No
M601		B 2097	23/09/1937	1937	Shigella	Sh. sp. 			601	06/11/1980			ND											No
M602		B 1754		ND	Shigella	Sh. sp. 			602	06/11/1980			ND											No
M603		B 598	23/09/1937	1937	Shigella	? Sh. sp. 			603	10/11/1980			2	60	1.2									No
M604		B 2077	23/09/1937	1937	Shigella	? Sh. sp. 			604	10/11/1980			2	42	1.1									No
M605		C 232	23/09/1937	1937	Shigella	? Sh. sp. 			605	10/11/1980			ND											No
M606		49563		ND	Shigella	Sh. ? sonnei			606	03/12/1980			3	42	6	1.3								No
M607		Flexner Lister V	17/05/1934	1934	Shigella	Sh. flexneri V (1a) 			607	10/11/1980			0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M608		B 597 Glynn Type II	02/12/1939	1939	Shigella	Sh. sonnei 			608	10/11/1980		M323 M608	2	70	40						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M609		55214 - VI 		ND	Escherichia	E. coli (haemolytic)	Stool	Opaque variant	609 O 	10/11/1980	"609S, 610L"	M609 M610	ND								Escherichia coli	Escherichia coli	N/A	Yes
M61		Shiga 7 	16/07/1919	1919	Shigella	Sh. dysenteriae 1		Large variant	61L	02/09/1980	"Both same size, M62 O"	M61 M62 M159	ND										N/A	No
M610		55214 - VI 		ND	Escherichia	E. coli (haemolytic)	Stool	Translucent variant	610 T	10/11/1980	"609S, 610L"	M609 M610	ND								Escherichia coli	Escherichia coli	N/A	Yes
M611A		55214 - VII		ND	Escherichia	E. coli (haemolytic)		Large variant	611A L 	03/12/1980	Colony variants found: M611A L M611B S	M611A M611B M612	3	80	70	40					Escherichia coli	Escherichia coli	N/A	Yes
M611B		55214 - VII		ND	Escherichia	E. coli (haemolytic)		Small variant	611B S 	03/12/1980	Colony variants found: M611A L M611B S	M611A M611B M612	3	80	70	40					Escherichia coli	Escherichia coli	N/A	Yes
M612		55214 - VII		ND	Escherichia	E. coli (haemolytic)		Translucent variant	612 T	10/11/1980		M611A M611B M612	2	80	40						Escherichia coli	Escherichia coli	N/A	Yes
M613		55025		ND	Escherichia	E. coli (haemolytic)	Urine		613	10/11/1980			3	200	140	1.7					Escherichia coli	Escherichia coli	N/A	Yes
M614		55024 - I 		ND	Escherichia	E. coli (haemolytic)	Stool		614	10/11/1980		M614 M676	1	54							Escherichia coli	Escherichia coli	N/A	Yes
M615		53558 - II		ND	Escherichia	E. coli (haemolytic)			615	10/11/1980			1	1.8							Escherichia coli	Escherichia coli	N/A	Yes
M616		55357		ND	Escherichia	E. coli (haemolytic)	Urine		616	10/11/1980			1	43							Escherichia coli	Escherichia coli	N/A	Yes
M617		D 1194	14/03/1939	1939	Escherichia	E. coli (Mucoid) 			617	10/11/1980	Confirms mucoid		3	81	57	4.8					Escherichia coli	Escherichia coli	N/A	Yes
M618		"Mrs Marcus (N.B. small variant of Mrs. Marcus: M/649, out of order)"	09/01/1932	1932	Escherichia	E. coli (non-motile) 	Blood	Large variant	618 L	10/11/1980	N.S. Small variant of M649	M618 M649	0								Escherichia coli	Escherichia coli	N/A	Yes
M619		52770	05/12/1933	1933	Escherichia	E. coli 		Large variant	619 L 	10/11/1980	Both same size	M619 M620	ND								Escherichia coli	Escherichia coli	N/A	Yes
M62		Shiga 7 	16/07/1919	1919	Shigella	Sh. dysenteriae 1		Small variant	62S	02/09/1980	"Both same size, M62 O"	M61 M62 M159	ND										N/A	No
M620		52770	05/12/1933	1933	Escherichia	E. coli 		Small variant	620 S	10/11/1980	Both same size	M619 M620	1	89							Escherichia coli	Escherichia coli	N/A	Yes
M621		D 1365 Variant 	23/12/1940	1940	Salmonella	S. sp. 			621	10/11/1980		M539 M621	0											No
M622		49472		ND	Shigella	? Sh. sonnei			622	11/11/1980			0											No
M623		NCTC 2542 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei 			623	03/12/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M624		Morgan's No 1 Bain 		ND	Shigella	Sh. sp. 			624	10/11/1980			0											No
M625		NCTC 397 (disc) orig	12/08/1938	1938	Salmonella	S. pullorum 			625	10/11/1980		M243 M625 	2	60	1.4						Salmonella enterica	Salmonella sp.	N/A	Yes
M626		E 4688 	17/12/1940	1940	Salmonella	S. sp. 			626	11/11/1980			0											No
M627		NCTC 2541 (disc) orig 	16/03/1937	1937	Shigella	Sh. sonnei 			627	11/11/1980		M294 M627 	4	60	3.6	3	1.2							No
M628		58867		ND	Shigella	Sh. flexneri 	Stool; not agglut. by pooled serum 		628	11/11/1980			4	66	50	3	1.4				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M629		49226		ND	Shigella	Sh. sp. 			629	11/11/1980			4	48	6.8	3.3	1.1							Yes
M63		"Shiga, Sheppard"	18/02/1919	1919	Shigella	Sh. dysenteriae 1			63	02/09/1980			ND										N/A	No
M630		B 314	23/09/1937	1937	Shigella	? Sh. sp. 			630	12/11/1980			5	48	8	3.9	3	1.1						No
M631		53534 - II 		ND	Escherichia	E. coli (haemolytic)		Large variant	631 L	12/11/1980		M631 M632 M677 M678	ND								Escherichia coli	Escherichia coli	N/A	Yes
M632		53534 - II 		ND	Escherichia	E. coli (haemolytic)		Small variant	632 S	12/11/1980		M631 M632 M677 M678	ND								Escherichia coli	Escherichia coli	N/A	Yes
M633		52746	05/02/1934	1934	Escherichia	E. coli (haemolytic)	"Lemoine, Urine"		633	12/11/1980			4	200	74	30	1				Escherichia coli	Escherichia coli	N/A	Yes
M634		E M 46 3 small	30/11/1931	1931	Escherichia	E. coli 	"CSF, Lemoine"		634	12/11/1980		M634 M647 M648A M648B	1	147							Escherichia coli	Escherichia coli	N/A	Yes
M635	13698	MGH A40 - 227 	26/11/1940	1940	Klebsiella	Kl. sp. Friedlanders			635	12/11/1980			3	76	39	31					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M636	13699	A 721	08/04/1940	1940	Klebsiella	Kl. sp. 	Acute cholecystitis		636	11/11/1980			2	37	31						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M637	13700	53376 - 3 		ND	Klebsiella	Kl. sp. Friedlanders			637	11/11/1980			3	260	70	16					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M638		NCTC 1781 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei			638	11/11/1980			2	1.4	1.2									No
M639		NCTC 2046 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei			639	11/11/1980			2	1.2	1.1						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M64		6091 Dudgeon Salonika	15/07/1919	1919	Shigella	Sh. flexneri Y 			64	02/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M640		NCTC 4051 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei			640	11/11/1980		M393 M394 M640	1	66										No
M641		NCTC 2183 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei		Rough variant	641 R 	11/11/1980	Both the same	M641 M642 	ND											No
M642		NCTC 2183 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei		Smooth variant	642 Smo	11/11/1980	Both the same	M641 M642 	2	2.2	1.2									No
M643		NCTC 2182 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei		Rough variant	643 R	11/11/1980	Both the same	M643 M644	4	5.6	3.6	3.1	1.2							No
M644		NCTC 2182 (disc) orig. 	16/03/1937	1937	Shigella	Sh. sonnei		Smooth variant	644 Smo	11/11/1980	Both the same	M643 M644	4	5.6	3.6	3.1	1.2							No
M645		Bact 49141	20/07/1932	1932	Proteus	Proteus sp. 	Blood culture 		645	11/11/1980			1	13							Proteus mirabilis	Proteus mirabilis	N/A	Yes
M646		L 1	29/01/1932	1932	Proteus	Proteus morganii			646	11/11/1980			2	9.2	5.4						Proteus mirabilis	Proteus mirabilis	N/A	Yes
M647		E M 46 4 small	30/11/1933	1933	Escherichia	E. coli 	"CSF, Lemoine"		647	11/11/1980		M634 M647 M648A M648B	2	17	3						Escherichia coli	Escherichia coli	N/A	Yes
M648A		E M 46 5 small	05/02/1934	1934	Escherichia	E. coli 		Opaque variant	648A O	03/12/1980	Colony variants found: M648A O M648B T	M634 M647 M648A M648B	1	81							Escherichia coli	Escherichia coli	N/A	Yes
M648B		E M 46 5 small	05/02/1934	1934	Escherichia	E. coli 		Translucent variant 	648B T	03/12/1980	Colony variants found: M648A O M648B T	M634 M647 M648A M648B	1	81							Escherichia coli	Escherichia coli	N/A	Yes
M649		"Mrs Marcus (N.B. small variant of Mrs. Marcus: M/618, out of order)"	09/01/1932	1932	Escherichia	E. coli (non-motile) 	Blood	Small variant	649 S	10/11/1980	N.B. Large variant of M618	M618 M649	0									Escherichia coli	N/A	Yes
M65		Aertrycke orig.	29/07/1925	1925	Salmonella	S. typhimurium		Large variant	65L 	02/09/1980	Both same size	M65 M66	0								Salmonella enterica	Salmonella sp	N/A	Yes
M650		Sada Gopall 	08/04/1925	1925	Shigella	Sh. sp 		Large variant	650 L	12/11/1980	Both same size	M650 M651	ND											No
M651		Sada Gopall 	08/04/1925	1925	Shigella	Sh. sp 		Small variant	651 S	12/11/1980	Both same size	M650 M651	1	100										No
M652		C 8150	23/09/1937	1937	Shigella	Sh. sonnei 		Rough variant	652 R 	09/12/1980		M652 M653	1	52										No
M653		C 8150	23/09/1937	1937	Shigella	Sh. sonnei 		Smooth variant	653 Smo	09/12/1980		M652 M653	4	7.8	3.6	3.1	1.2				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M654		F 208	13/01/1941	1941	Klebsiella	Kl. sp. Friedlanders	Antrum		654	12/11/1980			4	70	56	18	12				Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	No
M655		NCTC 3082 (disc) orig	16/03/1937	1937	Shigella	Sh. sonnei			655	12/11/1980		M431 M655	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M656		NCTC 3363 (disc) 	16/03/1937	1937	Shigella	Sh. sonnei	Claire Fitzgerald	Large variant	656 L	12/11/1980	"M656 S, M657 L"	M367 M368 M656 M657	3	50	2	1.3								No
M657		NCTC 3363 (disc) 	16/03/1937	1937	Shigella	Sh. sonnei	Claire Fitzgerald	Small variant	657 S	12/11/1980	"M656 S, M657 L"	M367 M368 M656 M657	4	72	8	3	1.4							No
M658		C 212	23/09/1937	1937	Shigella	Sh. sp. 		Non Lactose fermenter	658 nlf	12/11/1980		M658 M659	1	7										No
M659		C 212	23/09/1937	1937	Shigella	Sh. sp. 		Lactose fermenter	659 lf	09/12/1980		M658 M659	1	85										No
M66		Aertrycke orig.	29/07/1925	1925	Salmonella	S. typhimurium		Small variant	66S	02/09/1980	Both same size	M65 M66	1	62							Salmonella enterica	Salmonella sp	N/A	Yes
M660		NCTC 2941 (disc) orig	16/03/1937	1937	Shigella	Sh. sonnei		Non-spreader	660 NSp	12/11/1980		M660 M661 M667 M668	ND											No
M661		NCTC 2941 (disc) orig	16/03/1937	1937	Shigella	Sh. sonnei		Spreader variant	661 Sp 	12/11/1980		M660 M661 M667 M668	ND											No
M662		58761		ND	Proteus	Proteus (?) non-swarming			662	17/11/1980			0								Aeromonas veronii	Aeromonas veronii	N/A	Yes
M663		B 1970		ND	Escherichia	E. coli (haemolytic)	Rectal abscess	Large variant	663 L 	17/11/1980			1	1.6							Escherichia coli	Escherichia coli	N/A	Yes
M664		B 1970		ND	Escherichia	E. coli (haemolytic)		Small variant	664 S	17/11/1980			1	1.6							Escherichia coli	Escherichia coli	N/A	Yes
M665	13701	56289 (3) 	25/02/1935	1935	Klebsiella	Kl. sp. Friedlanders	Fatal case		665	17/11/1980		M42 M176 M665	3	50	2	1.3					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M666		NCTC 268 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei			666	17/11/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M667		NCTC 2941 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei 		Large variant	667 L	17/11/1980		M660 M661 M667 M668	ND											No
M668		NCTC 2941 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei 		Small variant	668 S	03/12/1980		M660 M661 M667 M668	ND											No
M669		C 8303	23/09/1937	1937	Shigella	Sh. sonnei		Large variant	669 L	17/11/1980			3	68	2	1.3					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M67		Witts orig. 	30/07/1925	1925	Salmonella	S. paratyphi C			67	15/09/1980		M5 M67 M157	1	38									N/A	Yes
M670		C 8303	23/09/1937	1937	Shigella	Sh. sonnei 		Small variant	670 S	09/12/1980			ND											No
M671		C 8277 1 	23/09/1937	1937	Shigella	Sh. sonnei 		Rough variant	671 R	17/11/1980	Both the same	M245 M671 M672	ND											No
M672		C 8277 1 	23/09/1937	1937	Shigella	Sh. sonnei 		Smooth variant	672 Smo	17/11/1980	Both the same	M245 M671 M672	3	62	2	1.3								No
M673		C 8222	23/09/1937	1937	Shigella	Sh. sonnei (atypical) 		Rough variant	673 R	17/11/1980	Both the same	M673 M674	3	62	2	1.3								No
M674		C 8222	23/09/1937	1937	Shigella	Sh. sonnei (atypical) 		Smooth variant	674 Sm	17/11/1980	Both the same	M673 M674	ND											No
M675		C 218	23/09/1937	1937	Shigella	? Sh. sp. 			675	17/11/1980			ND											No
M676		55024 - II 		ND	Escherichia	E. coli (haemolytic)	Stool		676	17/11/1980		M614 M676	1	29							Escherichia coli	Escherichia coli	N/A	Yes
M677		53534 -I 		ND	Escherichia	E. coli (haemolytic)		Large variant	677 L	17/11/1980		M631 M632 M677 M678	2	90	1						Escherichia coli	Escherichia coli	N/A	Yes
M678		53534 -I 		ND	Escherichia	E. coli (haemolytic)		Small variant	678 S	17/11/1980		M631 M632 M677 M678	ND								Escherichia coli	Escherichia coli	N/A	Yes
M679		53079	15/01/1934	1934	Escherichia	E. coli (haemolytic)	"Stool, colitis in a child"	Large variant	679 L	17/11/1980		M679 M680	ND								Escherichia coli	Escherichia coli	N/A	Yes
M68		Aertrycke B Newport	07/05/1918	1918	Salmonella	S. typhimurium			68	02/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M680		53079	15/01/1934	1934	Escherichia	E. coli (haemolytic)	"Stool, colitis in a child"	Small variant	680 S	17/11/1980		M679 M680	ND								Escherichia coli	Escherichia coli	N/A	Yes
M681		C 8187 1A 	23/09/1937	1937	Shigella	Sh. sonnei (atypical) 			681	17/11/1980			ND											No
M682		51262	05/02/1934	1934	Escherichia	E. coli? Contaminant		Non Lactose fermenter	682 nlf	17/11/1980			ND								Escherichia coli	Escherichia coli	N/A	Yes
M684		NCTC 4642 (disc) 	12/08/1938	1938	Salmonella	S. muenchen		Translucent variant	684 T	17/11/1980	Both the same	M85 M684 M685	0								Salmonella enterica	Salmonella sp	N/A	Yes
M685		NCTC 4642 (disc) 	12/08/1938	1938	Salmonella	S. muenchen		Opaque variant	685 O	17/11/1980	Both the same	M85 M684 M685	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M686		Mears	07/05/1931	1931	Salmonella	S. paratyphi A 		Opaque variant	686 O	17/11/1980	Both the same	M560 M686 M687	ND										N/A	No
M687		Mears	07/05/1931	1931	Salmonella	S. paratyphi A 		Translucent variant	687 T	17/11/1980	Both the same	M560 M686 M687	ND										N/A	No
M688		C 735	17/12/1940	1940	Salmonella	S. sp. 		Large variant	688 L 	17/11/1980	"M688 L, M689/M690 same S"	M688 M689 M690	0											No
M689		C 735	17/12/1940	1940	Salmonella	S. sp. 		Smooth opaque variant	689 SO 	17/11/1980	"M688 L, M689/M690 same S"	M688 M689 M690	0											No
M69	13673	"E4446, Thomas"	21/10/1920	1920	Klebsiella	Kl. sp. Friedlander	"Left antral washout, meningitis"	Large variant	69L 	02/09/1980	Both same size	M69 M70	1	37							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M690		C 735	17/12/1940	1940	Salmonella	S. sp. 		Smooth translucent variant	690 ST	17/11/1980	"M688 L, M689/M690 same S"	M688 M689 M690	0											No
M691		Newport ELD 	04/08/1935	1935	Salmonella	S. ? newport			691 P	17/11/1980			ND											No
M692		Newport ELD 	04/08/1935	1935	Salmonella	S. ? newport		Translucent variant	692 T	17/11/1980			ND											No
M7		Superpestifer I 	23/07/1926	1926	Salmonella	S. sp ? = M3			7	01/09/1980		M3 M7 M26 M27 	1	27										No
M70		"E4446, Thomas"	21/10/1920	1920	Klebsiella	Kl. sp. Friedlander	"Left antral washout, meningitis"	Small variant	70S 	02/09/1980	Both same size	M69 M70	2	42	32						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	No
M71		"Shiga, Smith"	18/02/1919	1919	Shigella	Sh. dysenteriae 1 			71	02/09/1980			ND										N/A	No
M72		Lac +ve from 48027		ND	Unknown	?			72	02/09/1980			0											No
M73		Newport FWA	04/01/1932	1932	Salmonella	? S. newport			73	02/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M74		NCTC 4639 (now discarded) 	07/09/1938	1938	Salmonella	S. aberdeen 		Large variant	74L	02/09/1980	"Both same size, both rough"	M74 M75 M574	0								Salmonella enterica	Salmonella sp	N/A	Yes
M75		NCTC 4639 (now discarded) 	07/09/1938	1938	Salmonella	S. aberdeen 		Small variant	75S 	02/09/1980	"Both same size, both rough"	M74 M75 M574	0								Salmonella enterica	Salmonella sp	N/A	Yes
M76		NCTC 3209 (now discarded)	07/09/1938	1938	Salmonella	S. brandenberg		Large variant	76L	02/09/1980	Both same size	M76 M77 M451	0								Salmonella enterica	Salmonella sp	N/A	Yes
M77		NCTC 3209 (now discarded)	07/09/1938	1938	Salmonella	S. brandenberg		Small variant	77S	02/09/1980	Both same size	M76 M77 M451	0								Salmonella enterica	Salmonella sp	N/A	Yes
M78		NCTC 3746 (not discarded) 	07/09/1938	1938	Salmonella	S. oranienberg			78	02/09/1980		M78 M328	1	68							Salmonella enterica	Salmonella sp	N/A	Yes
M79		11509	-/12/35	1935	Salmonella	S. thompson			79	02/09/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M8		Guise	14/12/1926	1926	Salmonella	S. paratyphi B 			8	15/09/1980		M8 M475 M481 M482	0										N/A	No
