Murray Collection Identifier,WTSI sequence tag,ENA accession number,Sample name,Public Name,GC content,Total sequencing yield (kbp) ,Assembly total length (bp) ,Assembly contiguous sequences (number) ,N50,WGS genus,Salmonella MLST,Escherichia coli MLST,Klebseilla MLST ,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number detected,Plasmid 1 ,Plasmid 2,Plasmid 3,Plasmid 4,Plasmid 5
M491,9776_2#73,ERS203089,NCTC_M491 6836916,NCTC20155,51.55,321323,4735016,38,206087,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M506,9776_2#77,ERS203093,NCTC_M506 6836964,NCTC20159,51.55,501110,4848117,42,311351,Salmonella,371,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M592,9471_7#7,ERS203118,NCTC_M592 6838852,NCTC20277,51.6,475908,4765994,51,185318,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncX1_4__JN935898,,,,
M508,9776_2#78,ERS203094,NCTC_M508 6836976,NCTC20160,51.65,534349,4767152,41,185424,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncX1_4__JN935898,,,,
M152,8939_4#14,ERS179687,NCTC_M152,NCTC20066,51.7,259814,4614327,31,282287,Salmonella,504,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFII_S__1__CP000858,,,,
M151,8939_4#6,ERS179679,NCTC_M151,NCTC20065,51.7,323294,4616350,20,665592,Salmonella,504,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFII_S__1__CP000858,,,,
M303,9776_2#15,ERS203031,NCTC_M303 6836980,NCTC20104,51.7,523726,4949798,57,188582,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M593,9471_7#6,ERS203117,NCTC_M593 6838840,NCTC20278,51.7,488848,4765995,50,204345,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncX1_4__JN935898,,,,
M2,8939_4#1,ERS180054,NCTC_M2,NCTC20002,51.7,283776,4698263,27,489168,Salmonella,11,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M6,8939_4#17,ERS179690,NCTC_M6,NCTC20017,51.7,294438,4768302,48,409171,Salmonella,136,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M28,9471_7#39,ERS203150,NCTC_M28 6838856,NCTC20242,51.7,394827,4893072,126,70209,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M263,9803_5#12,ERS222751,NCTC_M263 7222965,NCTC20356,51.7,325056,4743579,43,178545,Salmonella,139,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M244,9803_5#81,ERS222820,NCTC_M244 7222938,NCTC20350,51.7,242024,4727300,67,192030,Salmonella,139,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M155,8939_4#30,ERS179703,NCTC_M155,NCTC20068,51.7,334219,4893070,66,271585,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncX1_1__EU370913,,
M273,8939_4#80,ERS179753,NCTC_M273,NCTC20088,51.7,302573,4744474,38,405015,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncX1_4__JN935898,,
M204,9803_5#44,ERS222783,NCTC_M204 7222969,NCTC20341,51.7,265358,4749500,19,489635,Salmonella,11,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncX1_4__JN935898,,
M248,8939_4#95,ERS179672,NCTC_M248,NCTC20082,51.7,320065,4871710,29,402161,Salmonella,10,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFII_S__1__CP000858,IncX1_1__EU370913,,,
M11,8939_4#33,ERS179706,NCTC_M11,NCTC20019,51.7,336861,4811607,47,175172,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M12,8939_4#41,ERS179714,NCTC_M12,NCTC20020,51.7,315226,4772827,103,171921,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M225,8939_4#47,ERS179720,NCTC_M225,NCTC20078,51.7,298801,4450735,100,93995,Salmonella,373,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M226,8939_4#55,ERS179728,NCTC_M226,NCTC20078,51.7,262500,4451147,103,88382,Salmonella,373,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M15,8939_4#57,ERS179730,NCTC_M15,NCTC20022,51.7,255345,4769463,58,163001,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M16,8939_4#65,ERS179738,NCTC_M16,NCTC20023,51.7,290182,4745601,43,185428,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M22,8939_4#89,ERS179762,NCTC_M22,NCTC20025,51.7,282953,4757096,71,187595,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M23,9471_7#69,ERS203180,NCTC_M23 6838836,NCTC20169,51.7,431114,4580126,27,252370,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M459,9776_2#63,ERS203079,NCTC_M459 6836986,NCTC20145,51.7,519662,4734904,44,185816,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M14,9803_5#13,ERS222752,NCTC_M14 7222977,NCTC20001,51.7,370098,4756066,52,218043,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M309,9471_7#89,ERS203200,NCTC_M309 6838791,NCTC20222,51.75,306784,4824860,50,324380,Salmonella,241,,,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFIB_K__1_Kpn3_JN233704,,,,
M490,9776_2#72,ERS203088,NCTC_M490 6836999,NCTC20154,51.75,580731,4712449,19,624091,Salmonella,92,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncFII_S__1__CP000858,,,,
M131,8939_4#13,ERS179686,NCTC_M131,NCTC20057,51.75,321306,4703538,31,532960,Salmonella,64,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M575,9471_7#21,ERS203132,NCTC_M575 6838830,NCTC20263,51.75,493535,4717972,30,552421,Salmonella,64,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M302,9776_2#14,ERS203030,NCTC_M302 6836968,NCTC20103,51.75,495609,4892061,55,189491,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M311,9776_2#17,ERS203033,NCTC_M311 6836909,NCTC20105,51.75,495654,4888751,50,209368,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M312,9776_2#18,ERS203034,NCTC_M312 6836921,NCTC20105,51.75,537477,4891725,55,191688,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M285,9776_2#8,ERS203024,NCTC_M285 6836991,NCTC20098,51.75,568085,4890571,58,191654,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M67,9471_7#71,ERS203182,NCTC_M67 6838860,NCTC20173,51.75,424348,4837412,48,190575,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M422,9471_7#94,ERS203205,NCTC_M422 6838851,NCTC20229,51.75,367765,4796176,51,191587,Salmonella,90,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M1,9803_5#1,ERS222740,NCTC_M1 7222928,NCTC20000,51.75,328765,4703844,16,489930,Salmonella,11,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,,,
M156,8939_4#38,ERS179711,NCTC_M156,NCTC20068,51.75,251580,4889900,56,267540,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,3,IncFIB_S__1__FN432031,IncFII_S__1__CP000858,IncX1_1__EU370913,,
M277,9776_2#2,ERS203018,NCTC_M277 6836919,NCTC20092,51.75,533608,4859074,25,525832,Salmonella,10,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFII_S__1__CP000858,IncX1_1__EU370913,,,
M386,9776_2#36,ERS203052,NCTC_M386 6836947,NCTC20120,51.75,486282,4871814,22,495963,Salmonella,10,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFII_S__1__CP000858,IncX1_1__EU370913,,,
M208,8939_4#31,ERS179704,NCTC_M208,NCTC20076,51.75,331300,4688825,44,316788,Salmonella,40,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M13,8939_4#49,ERS179722,NCTC_M13,NCTC20021,51.75,286882,4733227,48,171912,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M76,8939_4#67,ERS179740,NCTC_M76,NCTC20043,51.75,242770,4600728,27,337396,Salmonella,249,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M78,8939_4#83,ERS179756,NCTC_M78,NCTC20044,51.75,286126,4618277,25,396693,Salmonella,320,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M580,9471_7#17,ERS203128,NCTC_M580 6838782,NCTC20267,51.75,524616,4713425,52,172045,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M577,9471_7#19,ERS203130,NCTC_M577 6838806,NCTC20265,51.75,481705,4612544,17,501391,Salmonella,78,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M521,9471_7#38,ERS203149,NCTC_M521 6838844,NCTC20246,51.75,400425,4770255,45,183077,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M326,9471_7#42,ERS203153,NCTC_M326 6838797,NCTC20107,51.75,449945,4775555,47,204340,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M38,9471_7#70,ERS203181,NCTC_M38 6838848,NCTC20171,51.75,449245,4499380,29,265481,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M87,9471_7#72,ERS203183,NCTC_M87 6838872,NCTC20176,51.75,426702,4675303,36,313458,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M104,9471_7#76,ERS203187,NCTC_M104 6838825,NCTC20181,51.75,444003,4731888,28,428886,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M106,9471_7#78,ERS203189,NCTC_M106 6838849,NCTC20183,51.75,412318,4708025,42,248750,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M121,9471_7#81,ERS203192,NCTC_M121 6838790,NCTC20191,51.75,364322,4732712,35,762028,Salmonella,31,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M282,9471_7#88,ERS203199,NCTC_M282 6838874,NCTC20219,51.75,409651,4717346,42,248744,Salmonella,86,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M560,9517_1#3,ERS203209,NCTC_M560 6670682,NCTC20234,51.75,920799,4546502,17,393088,Salmonella,85,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M324,9776_2#19,ERS203035,NCTC_M324 6836933,NCTC20106,51.75,518825,4737287,44,207349,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M329,9776_2#21,ERS203037,NCTC_M329 6836957,NCTC20088,51.75,498312,4711037,24,630084,Salmonella,15,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M417,9776_2#47,ERS203063,NCTC_M417 6836984,NCTC20129,51.75,518201,4711874,46,172677,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M452,9776_2#57,ERS203073,NCTC_M452 6836914,NCTC20139,51.75,580058,4706332,44,204345,Salmonella,8,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M454,9776_2#58,ERS203074,NCTC_M454 6836926,NCTC20140,51.75,536519,4732412,45,204310,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M455,9776_2#59,ERS203075,NCTC_M455 6836938,NCTC20141,51.75,540300,4725056,41,204297,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M456,9776_2#60,ERS203076,NCTC_M456 6836950,NCTC20142,51.75,521124,4727530,47,204299,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M457,9776_2#61,ERS203077,NCTC_M457 6836962,NCTC20143,51.75,561131,4747412,45,186782,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M458,9776_2#62,ERS203078,NCTC_M458 6836974,NCTC20144,51.75,530280,4742656,50,172182,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M460,9776_2#64,ERS203080,NCTC_M460 6836998,NCTC20146,51.75,552066,4733247,45,185828,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M461,9776_2#65,ERS203081,NCTC_M461 6836915,NCTC20147,51.75,504032,4731775,45,204294,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M463,9776_2#67,ERS203083,NCTC_M463 6836939,NCTC20149,51.75,506428,4741528,43,206060,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M465,9776_2#68,ERS203084,NCTC_M465 6836951,NCTC20150,51.75,507482,4713317,42,204304,Salmonella,1,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M467,9776_2#69,ERS203085,NCTC_M467 6836963,NCTC20151,51.75,535369,4705968,43,204304,Salmonella,8,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M494,9776_2#74,ERS203090,NCTC_M494 6836928,NCTC20156,51.75,583447,4800194,43,259287,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M505,9776_2#76,ERS203092,NCTC_M505 6836952,NCTC20158,51.75,545859,4604991,30,305568,Salmonella,48,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
